date,RSV001,RSV002,RSV003,RSV004,RSV005,RSV006,RSV007,RSV008,RSV009
2017-01-01 00:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 01:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 02:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 03:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 04:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 05:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 06:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 07:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 08:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 09:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 10:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 11:00:00,23.676,19.131,1.876,1.278,0.161,0.83,2.339,3.034,6.444
2017-01-01 12:00:00,19.599999999999998,15.837000000000003,1.5530000000000004,2.6060000000000003,0.32799999999999996,0.6869999999999999,4.769,6.187,5.333999999999999
2017-01-01 13:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-01 14:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-01 15:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-01 16:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-01 17:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-01 18:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-01 19:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-01 20:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-01 21:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-01 22:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-01 23:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 00:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 01:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 02:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 03:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 04:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 05:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 06:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 07:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 08:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 09:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 10:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 11:00:00,19.6,15.837000000000003,1.5530000000000006,2.6060000000000003,0.32799999999999996,0.687,4.769,6.187,5.334
2017-01-02 12:00:00,12.722000000000001,10.279000000000007,1.0080000000000007,2.772,0.349,0.44599999999999995,5.073,6.581,3.4619999999999997
2017-01-02 13:00:00,12.722000000000001,10.279000000000005,1.008000000000001,2.772,0.349,0.4459999999999999,5.073,6.581,3.4619999999999997
2017-01-02 14:00:00,12.722000000000001,10.279000000000005,1.008000000000001,2.772,0.349,0.4459999999999999,5.073,6.581,3.4619999999999997
2017-01-02 15:00:00,12.722000000000001,10.279000000000005,1.008000000000001,2.772,0.349,0.4459999999999999,5.073,6.581,3.4619999999999997
2017-01-02 16:00:00,12.722000000000001,10.279000000000005,1.008000000000001,2.772,0.349,0.4459999999999999,5.073,6.581,3.4619999999999997
2017-01-02 17:00:00,12.722000000000001,10.279000000000005,1.008000000000001,2.772,0.349,0.4459999999999999,5.073,6.581,3.4619999999999997
2017-01-02 18:00:00,12.722000000000001,10.279000000000005,1.008000000000001,2.772,0.349,0.4459999999999999,5.073,6.581,3.4619999999999997
